Sun Mar  8 13:00:20 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 13:00:28 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 33 bajta
Sun Mar  8 13:00:33 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:00:36 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 16 bajta
Sun Mar  8 13:00:40 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 14 bajta
Sun Mar  8 13:00:50 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 27 bajta
Sun Mar  8 13:00:53 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 13:00:55 2020 | [-]Klijent: mirko, fd->6, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:00:56 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:00:56 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:02:23 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 13:02:30 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 13:02:35 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 6
Sun Mar  8 13:02:37 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 13:02:40 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 12 bajta
Sun Mar  8 13:02:44 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 20 bajta
Sun Mar  8 13:02:49 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 26 bajta
Sun Mar  8 13:02:53 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 14 bajta
Sun Mar  8 13:02:56 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 13:03:00 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 18 bajta
Sun Mar  8 13:03:05 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 34 bajta
Sun Mar  8 13:03:09 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:03:13 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 20 bajta
Sun Mar  8 13:03:15 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 14 bajta
Sun Mar  8 13:03:42 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:04:20 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:04:23 2020 | [-]Klijent: mirko, fd->6, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:19:26 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 13:20:46 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 13:20:53 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 13:20:54 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:21:01 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 13:21:08 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 16 bajta
Sun Mar  8 13:23:10 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 13:23:17 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 13:23:18 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:23:22 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 15 bajta
Sun Mar  8 13:23:29 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 35 bajta
Sun Mar  8 13:23:36 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 22 bajta
Sun Mar  8 13:23:38 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 13:23:41 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 14 bajta
Sun Mar  8 13:23:45 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 12 bajta
Sun Mar  8 13:23:57 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:27:02 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 13:27:09 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 13:27:45 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 13:27:52 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 13:28:04 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 12 bajta
Sun Mar  8 13:28:17 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:28:20 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:29:06 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 13:29:12 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 13:29:15 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:29:18 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 13:29:23 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 14 bajta
Sun Mar  8 13:29:28 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:29:32 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 13:29:55 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:29:56 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:34:10 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 13:34:17 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 13:34:18 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:34:20 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 13:34:25 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 13:34:26 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 13:34:37 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:34:38 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:38:27 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 13:38:33 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 13:38:36 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 13:38:40 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 13:38:45 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 13:38:49 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 19 bajta
Sun Mar  8 13:39:01 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:39:01 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:40:02 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 13:40:09 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 13:40:10 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:40:14 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 13:40:20 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
